gene_id,HNRNPK,NELFE,PKM
ENSG00000006282,0,-0.00102719626832186,-0.00288476103277102
ENSG00000006283,0,-0.00202584483095711,-0.00219722944378419
ENSG00000006327,0,0,-0.00191034041048911
ENSG00000006377,0,-0.00330189508598703,-0.000475351645957761
ENSG00000006432,0,-0.00228715218317852,-0.00246252500611197
ENSG00000006451,0,-0.00132541566714092,-0.00320103142393893
ENSG00000006453,0,-0.00559832149399944,-0.00337465685894403
ENSG00000006459,0,-0.00391238890128181,-0.00259850341884687
ENSG00000006468,0,0,-0.00390274296939873
ENSG00000006530,0,-0.00098543655393841,-0.000127981182922588
ENSG00000006534,0,0,-0.00104251923046056
ENSG00000006555,0,-0.00147577933584119,-0.00154938072133922
ENSG00000006576,0,-0.00324221098323611,-0.000796977059378758
ENSG00000006606,0,-0.00821918583669017,-0.00395949562033749
ENSG00000006607,0,-0.00198489099941433,-0.00227445127072597
ENSG00000006611,0,-0.00319830218582009,-0.00383231004196269
ENSG00000006625,0,0,-0.000717087521135375
ENSG00000006634,0,-0.0020658309864338,-0.00144728617605944
ENSG00000006638,0,-0.00133523645746076,-0.00370895038381462
ENSG00000006652,0,-0.000779341764058293,-0.00106237670175877
ENSG00000006659,0,0,0
ENSG00000006695,0,-0.000905419533850988,-0.000173393353396586
ENSG00000006704,0,-0.00333539602915667,-0.00374599881360246
ENSG00000006712,0.0195573456308506,-0.000698508067180121,-0.000387054385675039
ENSG00000006715,0,0,-0.000178543227466026
ENSG00000006740,0,0,-0.00173028992558663
ENSG00000006744,0.0236071678052881,-0.00196051860856388,-0.000456485119085933
ENSG00000006747,0,-0.000418214211864784,-0.000641386864206772
ENSG00000006756,0,-0.00300024562518765,-0.0034617598369643
ENSG00000006757,0,0,-0.00328974710930643
ENSG00000006831,0,-0.000843916499917158,-0.000339725630648457
ENSG00000006837,0,-0.00206040220238583,-0.00766860900215652
ENSG00000007001,0,-0.00382777534760498,-0.00194534661890045
ENSG00000007038,0,-0.00268502882761869,-0.00543687018641769
ENSG00000007047,0,-0.00153628763929055,-0.00113694249256635
ENSG00000007062,0,0,0
ENSG00000007080,0,-0.00109107198372859,-0.000241230013408984
ENSG00000007129,0,-0.00126008432874496,-0.00123031852270865
ENSG00000007168,0,-0.00337058412661126,-0.00558219530764437
ENSG00000007171,0,-0.0014871193549443,-0.0020910778009674
ENSG00000007174,0,-0.00327982126495631,0
ENSG00000007202,0,-0.00253539762481366,-0.000192885744618427
ENSG00000007216,0,0,0
ENSG00000007237,0,0,0
ENSG00000007255,0,-0.000715077296562325,-0.00103014131995717
ENSG00000007264,0,0,-0.00162919255544382
ENSG00000007306,0,-0.0014289458446078,0
ENSG00000007312,0,0,0
ENSG00000007314,0,0,-0.00161581243377126
ENSG00000007341,0,-0.000677616267240357,-0.00243526733372026
ENSG00000007350,0,0,0
ENSG00000007372,0,0,0
ENSG00000007376,0,-0.00163207761841155,-0.001482779317464
ENSG00000007384,0,-0.0025126675604395,-0.00188804543495152
ENSG00000007392,0,-0.000754271506246677,-0.000822859619113547
ENSG00000007402,0,-0.00225271400764164,-0.00364055986695501
ENSG00000007516,0,-0.00385087376385974,-0.00671641059793909
ENSG00000007520,0,-0.00129834005090572,-0.000767574543801272
ENSG00000007541,0,-0.00181898227814719,-0.00580168191955142
